"ParticipantNum","density","NumAgents","FollowPercentage"
125,"HighDensity",1,37.9310344827586
126,"HighDensity",1,56.0975609756098
127,"HighDensity",1,55.2631578947368
128,"HighDensity",1,55.1724137931034
129,"HighDensity",1,40.7407407407407
130,"HighDensity",1,50
131,"HighDensity",1,32
132,"HighDensity",1,45.7142857142857
133,"HighDensity",1,52.7777777777778
134,"HighDensity",1,96.969696969697
135,"HighDensity",1,51.4285714285714
136,"HighDensity",1,37.037037037037
137,"HighDensity",1,72.7272727272727
138,"HighDensity",1,54.8387096774194
139,"HighDensity",1,41.9354838709677
140,"HighDensity",1,48.5714285714286
141,"HighDensity",1,40.5405405405405
142,"HighDensity",1,40.625
143,"HighDensity",1,52.9411764705882
144,"HighDensity",1,59.375
145,"HighDensity",1,73.5294117647059
146,"HighDensity",1,44.1176470588235
147,"HighDensity",1,100
148,"HighDensity",1,35.7142857142857
149,"HighDensity",1,67.4418604651163
150,"HighDensity",1,50
151,"HighDensity",1,48
152,"HighDensity",1,30
153,"HighDensity",1,82.8571428571429
154,"HighDensity",1,53.8461538461538
1,"HighDensity",2,43.75
2,"HighDensity",2,44.1176470588235
3,"HighDensity",2,93.1034482758621
4,"HighDensity",2,72.4137931034483
5,"HighDensity",2,45.1612903225806
6,"HighDensity",2,61.1111111111111
7,"HighDensity",2,41.9354838709677
8,"HighDensity",2,60.9756097560976
9,"HighDensity",2,72.7272727272727
10,"HighDensity",2,52.9411764705882
